movie_title,release_date,MovieSuccessLevel,director,director_pop,ActorsAvg,_is_G,_is_Not Rated,_is_PG,_is_PG-13,_is_R,_is_Action,_is_Adventure,_is_Black Comedy,_is_Comedy,_is_Concert/Performance,_is_Documentary,_is_Drama,_is_Horror,_is_Musical,_is_Romantic Comedy,_is_Thriller/Suspense,_is_Western,IsAnimation
Mighty Joe Young,1998.972603,B,Ron Underwood,1.948,5.509169281,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Deceived,1991.731507,C,Damian Harris,0.6,5.509169281,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Never Cry Wolf,1983.758904,B,Carroll Ballard,0.828,5.509169281,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
G-Force,2009.558904,B,Hoyt Yeatman,2.63,5.509169281,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Feast of July,1995.775342,D,Christopher Menaul,0.94,5.509169281,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
The Lookout,2007.246575,D,Scott Frank,8.517,5.509169281,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Cool Runnings,1993.742466,B,Jon Turteltaub,3.603,5.509169281,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Alice Through the Looking Glass,2016.40274,B,James Bobin,1.478,5.509169281,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
The Devil and Max Devlin,1981.00274,C,Steven Hilliard Stern,1.105,5.509169281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Chronicles of Narnia: Prince Caspian,2008.372603,B,Andrew Adamson,4.804,5.509169281,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
The Insider,1999.835616,C,Michael Mann,7.666,5.509169281,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Camp Nowhere,1994.646575,C,Jonathan Prince,1.4,5.509169281,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
The Rock,1996.430137,A,Gary J. Tunnicliffe,1.411,5.509169281,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Green Card,1990.972603,C,Peter Weir,2.235,5.509169281,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Real Steel,2011.758904,B,Shawn Levy,27.03,5.509169281,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
A Kid in King Arthur's Court,1995.605479,C,Michael Gottlieb,1.62,5.509169281,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
The Last Flight of NoahÃ¢ÂÂs Ark,1980.479452,C,Charles Jarrott,0.608,5.509169281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
African Cats,2011.306849,D,Alastair Fothergill,1.094,5.509169281,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Toy Story 3D Double Feature,2009.745205,C,,3.314126411,5.509169281,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Into the Woods,2014.972603,B,Rob Marshall,1.254,5.509169281,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Finding Nemo,2003.410959,S,Andrew Stanton,6.106,5.509169281,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
The Good Mother,1988.832877,D,Leonard Nimoy,6.062,5.509169281,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
The Hundred-Foot Journey,2014.59726,C,Lasse HallstrÃÂ¶m,1.688,5.509169281,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Pearl Harbor,2001.39726,A,Michael Rosenfeld,0.608,5.509169281,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Pirates of the Caribbean: At WorldÃ¢ÂÂÃ¢ÂÂ¦,2007.394521,A,Gore Verbinski,4.843,5.509169281,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Color of Night,1994.627397,C,Richard Rush,0.6,5.509169281,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Romy and Michele's High School Reunion,1997.315068,C,David Mirkin,1.149,5.509169281,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Cheetah,1989.624658,D,Jeff Blyth,0.6,5.509169281,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Jack,1996.6,B,Francis Ford Coppola,9.576,5.509169281,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Monsters University,2013.468493,A,Dan Scanlon,2.265,5.509169281,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
The Fifth Estate,2013.789041,D,Bill Condon,4.642,5.509169281,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Before and After,1996.145205,D,Barbet Schroeder,0.716,5.509169281,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Moonlight Mile,2002.731507,D,Brad Silberling,2.286,5.509169281,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
A Stranger Among Us,1992.539726,C,Sidney Lumet,2.183,5.509169281,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
The Lizzie McGuire Movie,2003.334247,C,Jim Fall,1.193,5.509169281,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Krippendorf's Tribe,1998.156164,D,Todd Holland,3.026,5.509169281,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
crazy/beautiful,2001.490411,C,John Stockwell,4.363,5.509169281,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Adventures in Babysitting,1987.50137,B,Chris Columbus,4.321,5.509169281,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
The Game Plan,2007.717808,B,Andy Fickman,1.615,5.509169281,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Splash,1984.189041,B,Ron Howard,5.634,5.509169281,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Who Framed Roger Rabbit?,1988.471233,A,Robert Zemeckis,8.964,5.509169281,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
The Light Between Oceans,2016.663014,D,Derek Cianfrance,0.98,5.509169281,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
The Guardian,2006.736986,B,Mark J. Doddy,0.608,5.509169281,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Sword in the Stone,1963.972603,B,Wolfgang Reitherman,2.833,3.9452,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Mr. Holland's Opus,1995.983562,B,Stephen Herek,3.184,5.509169281,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
The Rescuers Down Under,1990.865753,C,Mike Gabriel,1.22,5.30075,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
The Preacher's Wife,1996.939726,B,Penny Marshall,2.076,5.509169281,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Sarafina!,1992.706849,D,Darrell James Roodt,0.6,5.509169281,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Trenchcoat,1983.194521,D,Michael Tuchner,1.4,5.509169281,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Confessions of a Teenage Drama Queen,2004.136986,C,Sara Sugarman,2.624,5.509169281,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Around the World in 80 Days,2004.454795,C,Frank Coraci,3.888,5.509169281,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Blaze,1989.939726,C,Ron Shelton,2.801,5.509169281,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Toy Story,1995.882192,A,John Lasseter,3.782,5.509169281,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Prince of Persia: Sands of Time,2010.405479,B,Mike Newell,3.899,5.509169281,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Eddie,1996.413699,C,Steve Rash,1.631,5.509169281,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
White Fang 2: Myth of the White Wolf,1994.287671,D,Ken Olin,4.221,5.509169281,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
White Squall,1996.087671,D,Ridley Scott,5.031,5.509169281,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
The Invisible,2007.320548,C,David S. Goyer,7.974,5.509169281,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Guilty as Sin,1993.421918,C,Sidney Lumet,2.183,5.509169281,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Operation Dumbo Drop,1995.569863,C,Simon Wincer,6.723,5.509169281,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ghosts of the Abyss,2003.276712,C,James Cameron,7.333,5.509169281,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Scenes from a Mall,1991.142466,D,Paul Mazursky,1.263,5.509169281,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
The BFG,2016.49589,C,Steven Spielberg,18.765,5.509169281,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tron,1982.517808,B,Steven Lisberger,1.4,5.509169281,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Firelight,1998.668493,D,William Nicholson,1.982,5.509169281,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Delivery Man,2013.882192,C,Ken Scott,0.98,5.509169281,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
New York Stories,1989.167123,C,Francis Ford Coppola,9.576,5.509169281,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Disorganized Crime,1989.284932,D,Jim Kouf,1.295,5.509169281,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Tom and Huck,1995.964384,C,Peter Hewitt,1.253,5.509169281,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Keeping the Faith,2000.284932,C,Edward Norton,11.573,5.509169281,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Grosse Pointe Blank,1997.276712,C,George Armitage,0.6,5.509169281,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Indian Summer,1993.309589,C,Mike Binder,2.396,5.509169281,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
The Princess and the Frog,2009.890411,B,Ron Clements,3.314126411,4.827277778,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Billy Bathgate,1991.824658,C,Robert Benton,1.844,5.509169281,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
3 Ninjas Kick Back,1994.345205,C,Charles T. Kanganis,1.216,5.509169281,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
My Boyfriend's Back,1993.591781,D,Bob Balaban,9.484,5.509169281,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Goal! The Dream Begins,2006.361644,D,Danny Cannon,2.196,5.509169281,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Country,1984.736986,C,Peter Wellington,0.6,5.509169281,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Big Trouble,2002.260274,D,Barry Sonnenfeld,5.493,5.509169281,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
People Like Us,2012.490411,D,Alex Kurtzman,6.597,5.509169281,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Mars Needs Moms,2011.194521,C,Simon Wells,2.885,5.509169281,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Angie,1994.175342,D,Martha Coolidge,1.576,5.509169281,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Deuce Bigalow: Male Gigolo,1999.931507,B,Mike Mitchell,3.233,5.509169281,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Veronica Guerin,2003.786301,D,Joel Schumacher,3.688,5.509169281,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Max Keeble's Big Move,2001.753425,C,Tim Hill,3.627,5.509169281,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
The Scarlet Letter,1995.775342,C,Roland JoffÃÂ©,0.777,5.509169281,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
D3: The Mighty Ducks,1996.750685,C,Rob Lieberman,0.762,5.509169281,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Up,2009.408219,A,Pete Docter,10.161,5.509169281,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Alive,1993.041096,B,Frank Marshall,3.398,5.509169281,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Can't Buy Me Love,1987.613699,C,Steve Rash,1.631,5.509169281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
The Hoax,2007.263014,D,Lasse HallstrÃ¶m,3.308,5.509169281,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Fantasia,1940.857534,S,David Hand,2.951,6.019166667,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Crimson Tide,1995.361644,B,Tony Scott,4.126,5.509169281,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Ransom,1996.843836,A,Ron Howard,5.634,5.509169281,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Pretty Woman,1990.227397,A,Garry Marshall,3.741,5.509169281,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Inspector Gadget,1999.556164,B,David Kellogg,0.829,5.509169281,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Winnie the Pooh,2011.534247,C,Stephen J. Anderson,3.314126411,5.509169281,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
The Tigger Movie,2000.112329,B,Jun Falkenstein,1.068,5.509169281,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Heavy Weights,1995.128767,C,Steven Brill,3.574,5.509169281,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
What About Bob?,1991.375342,B,Frank Oz,6.202,5.509169281,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Condorman,1981.594521,D,Charles Jarrott,1.38,5.509169281,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Haunted Mansion,2003.893151,B,Rob Minkoff,2.269,5.509169281,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
The Hitchhiker's Guide to the Galaxy,2005.326027,C,Garth Jennings,5.73,5.509169281,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Bedknobs and Broomsticks,1971.758904,B,Robert Stevenson,1.531,2.1795,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Pooh's Heffalump Movie,2005.112329,C,Frank Nissen,1.231,2.14,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Open Range,2003.616438,B,Kevin Costner,19.452,5.509169281,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
D.O.A.,1988.213699,C,Annabel Jankel,0.84,5.509169281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Meet the Deedles,1998.238356,D,Steve Boyum,0.949,5.509169281,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
A Beautiful Planet,2016.326027,D,Toni Myers,0.6,5.509169281,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Sister Act,1992.408219,A,Emile Ardolino,4.922,5.509169281,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Strange Magic,2015.063014,D,Gary Rydstrom,1.836,5.509169281,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
The Many Adventures of Winnie the Pooh,1977.194521,D,Wolfgang Reitherman,2.833,5.509169281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quiz Show,1994.69589,C,Robert Redford,9.124,5.509169281,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
While You Were Sleeping,1995.30411,B,Jon Turteltaub,3.603,5.509169281,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Bedtime Stories,2008.972603,B,Adam Shankman,2.069,5.509169281,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"The Chronicles of Narnia: The Lion, tÃ¢ÂÂ¦",2005.928767,A,,3.314126411,5.509169281,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Instinct,1999.421918,C,Jon Turteltaub,3.603,5.509169281,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Step Up,2006.605479,B,Anne Fletcher,3.496,5.509169281,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
G.I. Jane,1997.635616,B,Ridley Scott,5.031,5.509169281,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Oscar,1991.317808,C,John Landis,1.564,5.509169281,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
