name,release_date,genre,MPAA_rating,revenue,director
Ten Things I Hate About You,1999-03-31,Romantic Comedy,PG-13,"$63,354,375 ",Gil Junger
Earth,2009-04-22,Documentary,G,"$35,981,010 ",
Hello Again,1987-11-06,Comedy,,"$44,024,529 ",Frank Perry
When a Man Loves a Woman,1994-04-29,Drama,R,"$103,354,194 ",Luis Mandoki
Unbreakable,2000-11-22,Thriller/Suspense,PG-13,"$148,208,901 ",M. Night Shyamalan
3 Men and a Baby,1987-11-25,Comedy,PG,"$353,334,607 ",Leonard Nimoy
X Games 3D: The Movie,2009-08-21,Documentary,PG,"$1,563,976 ",Steven Lawrence
Cars 2,2011-06-24,Adventure,G,"$203,522,177 ",John Lasseter
The Princess Diaries 2: Royal Engagement,2004-08-11,Romantic Comedy,G,"$129,164,207 ",Garry Marshall
The Jungle Book 2,2003-02-14,Adventure,G,"$66,966,883 ",Steve Trenbirth
Aspen Extreme,1993-01-22,Romantic Comedy,PG-13,"$15,970,955 ",Patrick Hasburgh
Noises Off...,1992-03-20,Comedy,PG-13,"$4,631,720 ",Peter Bogdanovich
He Got Game,1998-05-01,Drama,R,"$38,766,948 ",Spike Lee
Bringing Down the House,2003-03-07,Comedy,PG-13,"$185,481,530 ",Adam Shankman
Bon Voyage!,1962-05-17,Comedy,Not Rated,"$109,581,646 ",James Neilson
Doctor Strange,2016-11-04,Adventure,PG-13,"$232,532,923 ",
Flubber,1997-11-26,Comedy,PG,"$170,406,423 ",Les Mayfield
Roving Mars,2006-01-27,Documentary,G,"$12,948,025 ",George Butler
Captain Ron,1992-09-18,Comedy,PG-13,"$45,741,576 ",Thom Eberhardt
Shadow Conspiracy,1997-01-31,Thriller/Suspense,R,"$3,957,025 ",George P. Cosmatos
Good Morning Vietnam,1987-12-23,Comedy,R,"$254,414,837 ",Barry Levinson
Babes in Toyland,1961-12-14,Musical,G,"$124,841,160 ",Jack Donohue
An Innocent Man,1989-10-06,Drama,R,"$40,983,414 ",Peter Yates
Summer of Sam,1999-07-02,Drama,R,"$32,007,656 ",Spike Lee
The Good Dinosaur,2015-11-25,Adventure,PG,"$123,087,120 ",Peter Sohn
Angels in the Outfield,1994-07-15,Comedy,PG,"$103,798,152 ",William Dear
Tough Guys,1986-10-03,Comedy,,"$48,758,184 ",Jeff Kanew
Something Wicked This Way Comes,1983-04-29,Horror,,"$15,136,765 ",Jack Clayton
The Rocketeer,1991-06-21,Action,PG,"$93,256,673 ",Joe Johnston
Stakeout,1987-08-05,Comedy,R,"$141,592,160 ",John Badham
National Treasure 2: Book of Secrets,2007-12-21,Adventure,PG,"$267,003,525 ",Jon Turteltaub
Terminal Velocity,1994-09-23,Action,PG-13,"$34,048,315 ",Deran Sarafian
Apocalypto,2006-12-08,Adventure,R,"$64,959,548 ",Mel Gibson
Invincible,2006-08-25,Drama,PG,"$74,398,864 ",Ericson Core
25th Hour,2002-12-19,Drama,R,"$18,325,463 ",Spike Lee
Mighty Joe Young,1998-12-25,Adventure,PG,"$87,906,042 ",Ron Underwood
Deceived,1991-09-27,Thriller/Suspense,PG-13,"$57,544,453 ",Damian Harris
Never Cry Wolf,1983-10-07,Drama,,"$70,669,955 ",Carroll Ballard
G-Force,2009-07-24,Adventure,PG,"$134,246,932 ",Hoyt Yeatman
Feast of July,1995-10-13,Drama,R,"$568,342 ",Christopher Menaul
The Lookout,2007-03-30,Drama,R,"$5,637,048 ",Scott Frank
Cool Runnings,1993-10-01,Comedy,PG,"$140,392,731 ",Jon Turteltaub
Alice Through the Looking Glass,2016-05-27,Adventure,PG,"$77,042,381 ",James Bobin
The Devil and Max Devlin,1981-01-01,,,"$48,517,980 ",
The Chronicles of Narnia: Prince Caspian,2008-05-16,Adventure,PG,"$166,277,038 ",Andrew Adamson
The Insider,1999-11-05,Drama,R,"$47,794,214 ",
Camp Nowhere,1994-08-26,Comedy,PG,"$21,576,332 ",Jonathan Prince
The Rock,1996-06-07,Action,R,"$255,702,705 ",Michael Bay
Green Card,1990-12-25,Romantic Comedy,PG-13,"$59,679,131 ",Peter Weir
Real Steel,2011-10-07,Action,PG-13,"$90,848,019 ",
A Kid in King Arthur's Court,1995-08-11,Adventure,PG,"$25,981,285 ",Michael Gottlieb
The Last Flight of Noah’s Ark,1980-06-25,,,"$34,472,116 ",Charles Jarrott
African Cats,2011-04-22,Documentary,G,"$16,401,551 ",Alastair Fothergill
Toy Story 3D Double Feature,2009-10-02,Adventure,G,"$34,509,545 ",
Into the Woods,2014-12-25,Musical,PG,"$130,894,237 ",Rob Marshall
Finding Nemo,2003-05-30,Adventure,G,"$518,148,559 ",Andrew Stanton
The Good Mother,1988-11-04,Drama,,"$9,772,655 ",Leonard Nimoy
The Hundred-Foot Journey,2014-08-08,Romantic Comedy,PG,"$55,961,409 ",Lasse Hallström
Pearl Harbor,2001-05-25,Action,PG-13,"$295,705,112 ",Michael Bay
Pirates of the Caribbean: At World’…,2007-05-24,Adventure,PG-13,"$379,129,960 ",Gore Verbinski
Color of Night,1994-08-19,Thriller/Suspense,R,"$40,804,816 ",Richard Rush
Romy and Michele's High School Reunion,1997-04-25,Comedy,R,"$53,693,680 ",David Mirkin
Cheetah,1989-08-18,Adventure,,"$16,653,473 ",Jeff Blyth
Jack,1996-08-09,Drama,PG-13,"$111,792,852 ",Francis Ford Coppola
Monsters University,2013-06-21,Adventure,G,"$278,395,641 ",Dan Scanlon
The Fifth Estate,2013-10-18,Drama,R,"$3,374,251 ",Bill Condon
Before and After,1996-02-23,Drama,PG-13,"$16,482,589 ",Barbet Schroeder
Moonlight Mile,2002-09-27,Drama,PG-13,"$9,909,094 ",Brad Silberling
A Stranger Among Us,1992-07-17,Drama,PG-13,"$24,950,752 ",Sidney Lumet
The Lizzie McGuire Movie,2003-05-02,Comedy,PG,"$59,743,191 ",Jim Fall
Krippendorf's Tribe,1998-02-27,Comedy,PG-13,"$13,608,633 ",Todd Holland
crazy/beautiful,2001-06-29,Drama,PG-13,"$25,214,223 ",John Stockwell
Adventures in Babysitting,1987-07-03,Comedy,,"$72,853,569 ",Chris Columbus
The Game Plan,2007-09-22,Comedy,PG,"$111,010,758 ",Andy Fickman
Splash,1984-03-09,Comedy,PG,"$157,057,661 ",Ron Howard
Who Framed Roger Rabbit?,1988-06-22,Comedy,PG,"$316,250,084 ",Robert Zemeckis
The Light Between Oceans,2016-09-02,Drama,PG-13,"$12,545,979 ",Derek Cianfrance
The Guardian,2006-09-29,Action,PG-13,"$70,801,353 ",Andrew Davis
The Sword in the Stone,1963-12-25,Adventure,,"$153,870,834 ",Wolfgang Reitherman
Mr. Holland's Opus,1995-12-29,Drama,PG,"$157,508,868 ",Stephen Herek
The Rescuers Down Under,1990-11-16,Adventure,G,"$55,796,728 ",Mike Gabriel
The Preacher's Wife,1996-12-13,Drama,PG,"$91,076,877 ",Penny Marshall
Sarafina!,1992-09-18,Drama,PG-13,"$14,841,352 ",Darrell James Roodt
Trenchcoat,1983-03-11,Comedy,,"$11,519,089 ",Michael Tuchner
Confessions of a Teenage Drama Queen,2004-02-20,Comedy,PG,"$39,816,568 ",Sara Sugarman
Around the World in 80 Days,2004-06-16,Adventure,PG,"$32,585,356 ",Frank Coraci
Blaze,1989-12-13,Drama,R,"$39,884,640 ",Ron Shelton
Toy Story,1995-11-22,Adventure,G,"$370,409,631 ",
Prince of Persia: Sands of Time,2010-05-28,Action,PG-13,"$96,971,361 ",Mike Newell
Eddie,1996-05-31,Comedy,PG-13,"$59,828,966 ",Steve Rash
White Fang 2: Myth of the White Wolf,1994-04-15,Adventure,PG,"$18,083,994 ",Ken Olin
White Squall,1996-02-02,Adventure,PG-13,"$19,509,726 ",Ridley Scott
The Invisible,2007-04-27,Thriller/Suspense,PG-13,"$25,202,168 ",David S. Goyer
Guilty as Sin,1993-06-04,Thriller/Suspense,R,"$46,064,723 ",Sidney Lumet
Operation Dumbo Drop,1995-07-28,Adventure,PG,"$47,809,421 ",Simon Wincer
Ghosts of the Abyss,2003-04-11,Documentary,G,"$23,803,108 ",James Cameron
Scenes from a Mall,1991-02-22,Comedy,,"$19,149,495 ",Paul Mazursky
The BFG,2016-07-01,Adventure,PG,"$55,483,770 ",
Tron,1982-07-09,Action,,"$77,184,895 ",Steven Lisberger
Firelight,1998-09-04,Drama,R,"$1,409,943 ",
Delivery Man,2013-11-22,Comedy,PG-13,"$31,787,136 ",
New York Stories,1989-03-01,Drama,PG,"$22,740,861 ",Francis Ford Coppola
Disorganized Crime,1989-04-14,Comedy,,"$15,233,465 ",Jim Kouf
Tom and Huck,1995-12-22,Adventure,PG,"$45,911,517 ",Peter Hewitt
Keeping the Faith,2000-04-14,Romantic Comedy,PG-13,"$57,925,202 ",Edward Norton
Grosse Pointe Blank,1997-04-11,Black Comedy,R,"$51,579,764 ",George Armitage
Indian Summer,1993-04-23,Comedy,R,"$29,968,953 ",Mike Binder
The Princess and the Frog,2009-11-25,Adventure,G,"$116,316,457 ",Ron Clements
Billy Bathgate,1991-11-01,Drama,R,"$31,167,691 ",Robert Benton
3 Ninjas Kick Back,1994-05-06,Action,PG,"$24,267,154 ",Charles T. Kanganis
My Boyfriend's Back,1993-08-06,,PG-13,"$6,554,384 ",Bob Balaban
Goal! The Dream Begins,2006-05-12,Drama,PG,"$5,512,647 ",
Country,1984-09-29,Drama,,"$21,075,000 ",Richard Pearce
Big Trouble,2002-04-05,Comedy,PG-13,"$10,537,188 ",Barry Sonnenfeld
People Like Us,2012-06-29,Drama,PG-13,"$13,165,822 ",Alex Kurtzman
Mars Needs Moms,2011-03-11,Adventure,PG,"$22,741,603 ",Simon Wells
Angie,1994-03-04,Comedy,R,"$19,116,981 ",Martha Coolidge
Deuce Bigalow: Male Gigolo,1999-12-10,Comedy,R,"$106,921,374 ",Mike Mitchell
Veronica Guerin,2003-10-17,Drama,R,"$2,194,759 ",
Max Keeble's Big Move,2001-10-05,Comedy,PG,"$25,749,730 ",Tim Hill
The Scarlet Letter,1995-10-13,Drama,R,"$20,075,033 ",Roland Joffé
D3: The Mighty Ducks,1996-10-04,Comedy,PG,"$43,713,554 ",Rob Lieberman
Up,2009-05-29,Adventure,PG,"$329,336,681 ",Pete Docter
Alive,1993-01-15,Adventure,R,"$73,914,543 ",Frank Marshall
Can't Buy Me Love,1987-08-14,Romantic Comedy,,"$68,181,300 ",Steve Rash
The Hoax,2007-04-06,Drama,R,"$8,779,196 ",
Fantasia,1940-11-13,Musical,G,"$2,187,090,808 ",full credits
Crimson Tide,1995-05-12,Action,R,"$177,102,077 ",Tony Scott
Ransom,1996-11-08,Action,R,"$259,807,820 ",Ron Howard
Pretty Woman,1990-03-23,Romantic Comedy,R,"$356,389,765 ",Garry Marshall
Inspector Gadget,1999-07-23,Comedy,PG,"$161,610,341 ",David Kellogg
Winnie the Pooh,2011-07-15,Adventure,G,"$28,375,869 ",Stephen J. Anderson
The Tigger Movie,2000-02-11,Adventure,G,"$71,228,678 ",Jun Falkenstein
Heavy Weights,1995-02-17,Comedy,PG,"$34,245,779 ",Steven Brill
What About Bob?,1991-05-17,Comedy,PG,"$127,571,325 ",Frank Oz
Condorman,1981-08-07,Action,,$0 ,
The Haunted Mansion,2003-11-26,Comedy,PG,"$105,775,678 ",Rob Minkoff
The Hitchhiker's Guide to the Galaxy,2005-04-29,Comedy,PG,"$67,096,891 ",Garth Jennings
Bedknobs and Broomsticks,1971-10-07,Musical,,"$91,305,448 ",Robert Stevenson
Pooh's Heffalump Movie,2005-02-11,Adventure,G,"$23,801,835 ",Frank Nissen
Open Range,2003-08-15,Western,R,"$81,547,672 ",Kevin Costner
D.O.A.,1988-03-18,Thriller/Suspense,,"$26,062,188 ",Annabel Jankel
Meet the Deedles,1998-03-27,Comedy,PG,"$7,829,877 ",Steve Boyum
A Beautiful Planet,2016-04-29,Documentary,G,"$7,895,708 ",Toni Myers
Sister Act,1992-05-29,Comedy,PG,"$283,583,472 ",Emile Ardolino
Strange Magic,2015-01-23,Adventure,PG,"$12,429,583 ",Gary Rydstrom
The Many Adventures of Winnie the Pooh,1977-03-11,,,$0 ,Wolfgang Reitherman
Quiz Show,1994-09-14,Drama,PG-13,"$50,840,394 ",
While You Were Sleeping,1995-04-21,Romantic Comedy,PG,"$157,082,900 ",Jon Turteltaub
Bedtime Stories,2008-12-25,Comedy,PG,"$128,039,679 ",Adam Shankman
"The Chronicles of Narnia: The Lion, t…",2005-12-09,Adventure,PG,"$381,557,539 ",
Instinct,1999-06-04,Drama,R,"$56,595,842 ",Jon Turteltaub
Step Up,2006-08-11,Drama,PG-13,"$84,078,780 ",Anne Fletcher
G.I. Jane,1997-08-22,Drama,R,"$88,467,531 ",Ridley Scott
Oscar,1991-04-26,Comedy,PG,"$47,181,395 ",John Landis
The Parent Trap,1998-07-29,Comedy,PG,"$119,185,667 ",Nancy Meyers
Primeval,2007-01-12,Adventure,R,"$12,985,302 ",Michael Katleman
The Lone Ranger,2013-07-02,Western,PG-13,"$92,597,388 ",Gore Verbinski
"Monsters, Inc.",2001-11-02,Adventure,G,"$416,073,179 ",Pete Docter
Reign of Fire,2002-02-19,Action,PG-13,"$62,480,631 ",
Running Brave,1983-11-04,Drama,,"$3,223,725 ",Donald Shebib
Dinosaur,2000-05-19,Adventure,PG,"$215,438,985 ",Ralph Zondag
Rushmore,1998-12-11,Black Comedy,R,"$28,392,518 ",Wes Anderson
Freaky Friday,1977-01-21,Comedy,,"$98,067,733 ",
The 13th Warrior,1999-08-27,Action,R,"$54,262,148 ",John McTiernan
Brave,2012-06-22,Adventure,PG,"$251,292,441 ",Brenda Chapman
Eight Below,2006-02-17,Adventure,PG,"$105,037,235 ",Frank Marshall
Gake no ue no Ponyo,2009-08-14,Adventure,G,"$16,961,607 ",
Queen of Katwe,2016-09-23,Drama,PG,"$8,874,389 ",Mira Nair
Straight Talk,1992-04-03,Comedy,PG,"$43,068,356 ",Barnet Kellman
Holy Man,1998-10-09,Comedy,PG,"$21,694,605 ",Stephen Herek
The Sorcerer's Apprentice,2010-07-14,Adventure,PG,"$67,473,105 ",Jon Turteltaub
Stella,1990-02-02,Drama,PG-13,"$40,077,147 ",John Erman
An American Werewolf in Paris,1997-12-25,Horror,R,"$48,546,161 ",
The Mighty Ducks,1992-10-02,Comedy,PG,"$103,120,810 ",Stephen Herek
Tall Tale,1995-03-24,Western,PG,"$15,983,331 ",Jeremiah S. Chechik
Tangled,2010-11-24,Adventure,PG,"$214,388,548 ",Nathan Greno
Ed Wood,1994-09-30,Comedy,R,"$12,042,634 ",Tim Burton
The Jerky Boys,1995-02-03,Comedy,R,"$14,641,561 ",James Melkonian
The Rich Man's Wife,1996-09-13,Thriller/Suspense,R,"$16,284,619 ",Amy Holden Jones
"20,000 Leagues Under the Sea",1954-12-23,Adventure,,"$528,279,994 ",Richard Fleischer
Super Mario Bros.,1993-05-28,Action,PG,"$42,445,058 ",Annabel Jankel
The Proposal,2009-06-19,Romantic Comedy,PG-13,"$184,288,829 ",Anne Fletcher
Race to Witch Mountain,2009-03-13,Adventure,PG,"$75,501,997 ",Andy Fickman
The Adventures of Huck Finn,1993-04-02,Adventure,PG,"$49,080,505 ",Stephen Sommers
Jefferson in Paris,1995-03-31,Drama,PG-13,"$4,770,461 ",James Ivory
The Jungle Book,2016-04-15,Adventure,PG,"$364,001,123 ",Jon Favreau
Sky High,2005-07-29,Adventure,PG,"$84,088,854 ",Mike Mitchell
Toy Story 2,1999-11-19,Adventure,G,"$404,450,426 ",
The Rescuers,1977-06-22,Adventure,,"$159,743,914 ",Wolfgang Reitherman
Remember the Titans,2000-09-29,Drama,PG,"$180,742,479 ",Boaz Yakin
A Lot Like Love,2005-04-22,Comedy,PG-13,"$28,716,947 ",Nigel Cole
3 Ninjas,1992-08-07,Action,PG,"$58,965,304 ",Jon Turteltaub
Flight of the Navigator,1986-07-30,Adventure,,"$42,183,197 ",Randal Kleiser
America's Heart and Soul,2004-07-02,Documentary,Not Rated,"$426,246 ",Louis Schwartsberg
Swing Vote,2008-08-01,Comedy,PG-13,"$19,125,841 ",Joshua Michael Stern
The Straight Story,1999-10-15,Drama,G,"$10,111,144 ",David Lynch
The Kid,2000-07-07,Comedy,PG,"$108,993,148 ",Jon Turteltaub
Enchanted,2007-11-21,Romantic Comedy,PG,"$156,074,310 ",Kevin Lima
Zootopia,2016-03-04,Adventure,PG,"$341,268,248 ",Byron Howard
I'll Be Home For Christmas,1998-11-13,Comedy,PG,"$21,941,840 ",Arlene Sanford
The War at Home,1996-11-20,,R,"$65,543 ",Emilio Estevez
Peter Pan: Return to Neverland,2002-02-15,Adventure,G,"$70,269,715 ",Donovan Cook
Ratatouille,2007-06-29,Comedy,G,"$252,955,933 ",Brad Bird
Secretariat,2010-10-08,Drama,PG,"$63,781,920 ",
Medicine Man,1992-02-07,Drama,PG-13,"$91,304,495 ",John McTiernan
A Thousand Acres,1997-09-19,Drama,R,"$14,561,324 ",Jocelyn Moorhouse
Mission to Mars,2000-03-10,Adventure,PG,"$95,208,344 ",Brian De Palma
Brother Bear,2003-10-24,Adventure,G,"$119,218,333 ",Robert Walker
Snow White and the Seven Dwarfs,1937-12-21,Musical,G,"$5,228,953,251 ",David Hand
Toy Story 3,2010-06-18,Adventure,G,"$443,408,255 ",Lee Unkrich
Miracle,2004-02-06,Drama,PG,"$87,392,478 ",Gavin O'Connor
My Favorite Martian,1999-02-12,Comedy,PG,"$61,150,849 ",Donald Petrie
Benji the Hunted,1987-06-05,Adventure,,"$32,798,382 ",Joe Camp
A Far Off Place,1993-03-12,Adventure,PG,"$26,248,558 ",Mikael Salomon
Old Dogs,2009-11-25,Comedy,PG,"$55,503,929 ",Walt Becker
Alice in Wonderland,2010-03-05,Adventure,PG,"$357,063,499 ",Clyde Geronimi
The Little Mermaid,1989-11-15,Adventure,G,"$223,726,012 ",Ron Clements
Stick It,2006-04-28,Comedy,PG-13,"$34,634,731 ",Jessica Bendinger
Funny Bones,1995-03-31,Comedy,R,"$1,025,425 ",
Cars,2006-06-09,Comedy,G,"$314,140,384 ",John Lasseter
Bicentennial Man,1999-12-17,Drama,PG,"$94,838,225 ",Chris Columbus
Chimpanzee,2012-04-20,Documentary,G,"$30,675,725 ",Alastair Fothergill
The Apple Dumpling Gang,1975-07-01,Comedy,,"$131,246,872 ",Norman Tokar
The Other Sister,1999-02-26,Romantic Comedy,PG-13,"$46,145,331 ",Garry Marshall
A Simple Twist of Fate,1994-09-02,Drama,PG-13,"$7,035,189 ",Gillies MacKinnon
Where the Heart Is,1990-02-23,Comedy,,"$2,210,321 ",John Boorman
Kaze Tachinu,2013-11-08,Drama,PG-13,"$5,367,415 ",
Off Beat,1986-04-11,Comedy,,"$11,003,932 ",Michael Dinner
The Greatest Game Ever Played,2005-09-30,Drama,PG,"$20,162,672 ",Bill Paxton
The Three Musketeers,1993-11-12,Adventure,PG,"$109,310,377 ",Stephen Herek
A Civil Action,1998-12-25,Drama,PG-13,"$94,139,530 ",Steven Zaillian
Walt and El Grupo,2009-09-10,Documentary,PG,"$23,064 ",
Powder,1995-10-27,Drama,PG-13,"$59,727,216 ",Victor Salva
1492: Conquest of Paradise,1992-10-09,Adventure,PG-13,"$14,421,454 ",Ridley Scott
The Cemetery Club,1993-02-03,Comedy,PG-13,"$11,369,541 ",Bill Duke
Stay Alive,2006-03-24,Horror,PG-13,"$29,712,825 ",William Brent Bell
That Darn Cat,1997-02-14,Comedy,PG,"$33,613,158 ",Bob Spiers
The Muppet Christmas Carol,1992-12-11,Comedy,G,"$55,417,615 ",Brian Henson
Step Up 2 the Streets,2008-02-14,Drama,PG-13,"$68,118,371 ",Jon M. Chu
Fantasia 2000 (Theatrical Release),2000-06-16,Musical,G,"$14,238,144 ",
The Santa Clause 2,2002-11-01,Comedy,G,"$201,959,095 ",
The Recruit,2003-01-31,Thriller/Suspense,PG-13,"$73,793,522 ",Roger Donaldson
Money for Nothing,1993-09-10,Comedy,R,"$2,127,496 ",Ramón Menéndez
Bad Company,1995-01-20,Thriller/Suspense,R,"$6,829,092 ",Damian Harris
I Love Trouble,1994-06-29,Romantic Comedy,PG,"$63,651,027 ",Charles Shyer
The Absent Minded Professor,1961-03-16,Comedy,,"$310,094,574 ",Robert Stevenson
Jungle 2 Jungle,1997-03-07,Comedy,PG,"$110,058,379 ",John Pasquin
Tex,1982-11-19,Drama,,"$20,643,199 ",
Life With Mikey,1993-06-04,Comedy,PG,"$25,146,538 ",James Lapine
Gone Fishin',1997-05-30,Comedy,PG,"$36,265,379 ",Christopher Cain
Rogue One: A Star Wars Story,2016-12-16,Adventure,PG-13,"$529,483,936 ",Gareth Edwards
The Marrying Man,1991-04-05,Romantic Comedy,R,"$24,939,118 ",Jerry Rees
Bubble Boy,2001-08-24,Comedy,PG-13,"$7,450,434 ",Blair Hayes
Baby: Secret of the Lost Legend,1985-03-22,Adventure,,"$33,900,697 ",Bill L. Norton
The Fox and the Hound,1981-07-10,Comedy,,"$133,118,889 ",Art Stevens
High Heels and Low Lifes,2001-10-26,,R,"$337,782 ",
The Tie That Binds,1995-09-08,Thriller/Suspense,R,"$11,167,895 ",Wesley Strick
John Carter,2012-03-09,Adventure,PG-13,"$77,372,445 ",Andrew Stanton
Blank Check,1994-02-11,Comedy,PG,"$63,170,804 ",Rupert Wainwright
Guardians of the Galaxy,2014-08-01,Adventure,PG-13,"$343,771,168 ",
Star Wars Ep. VII: The Force Awakens,2015-12-18,Adventure,PG-13,"$936,662,225 ",
A Goofy Movie,1995-04-07,Comedy,G,"$68,479,579 ",Kevin Lima
Hocus Pocus,1993-07-16,Comedy,PG,"$80,147,079 ",Kenny Ortega
Pete’s Dragon,2016-08-12,Adventure,PG,"$76,233,151 ",David Lowery
Night Crossing,1982-02-05,Drama,,"$12,903,059 ",Delbert Mann
Lilo & Stitch,2002-06-21,Adventure,PG,"$211,506,702 ",Chris Sanders
Metro,1997-01-17,Action,R,"$58,804,106 ",Thomas Carter
National Treasure,2004-11-19,Adventure,PG,"$234,069,353 ",Jon Turteltaub
Shanghai Noon,2000-05-26,Western,PG-13,"$89,042,541 ",Tom Dey
Dangerous Minds,1995-08-11,Drama,R,"$164,552,293 ",John N. Smith
The Distinguished Gentleman,1992-12-04,Comedy,R,"$94,349,900 ",Jonathan Lynn
The Secret World of Arietty,2012-02-17,Adventure,G,"$20,325,733 ",
The Princess Diaries,2001-08-03,Comedy,G,"$161,218,928 ",Garry Marshall
Step Up 3D,2010-08-06,Drama,PG-13,"$45,302,137 ",Jon M. Chu
Underdog,2007-08-03,Adventure,PG,"$53,619,462 ",Frederik Du Chau
Red Rock West,1994-01-28,,R,"$5,170,709 ",
Captain America: Civil War,2016-05-06,Action,PG-13,"$408,084,349 ",Allan McLeod
Mr. Wrong,1996-02-16,Romantic Comedy,PG-13,"$24,422,334 ",Nick Castle
Nixon,1995-12-20,Drama,R,"$26,302,005 ",Oliver Stone
The Ref,1994-03-09,Comedy,R,"$23,401,275 ",Ted Demme
The Santa Clause 3: The Escape Clause,2006-11-03,Comedy,G,"$108,694,869 ",Michael Lembeck
Ice Princess,2005-03-18,Comedy,G,"$32,064,685 ",Tim Fywell
King Arthur,2004-07-07,Adventure,PG-13,"$70,423,706 ",Antoine Fuqua
Nothing To Lose,1997-07-18,Comedy,R,"$81,692,095 ",Steve Oedekerk
Herbie: Fully Loaded,2005-06-22,Comedy,G,"$86,812,798 ",Angela Robinson
Father of the Bride,1991-12-20,Comedy,PG,"$179,821,881 ",Charles Shyer
You Again,2010-09-24,Comedy,PG,"$27,461,121 ",Andy Fickman
Treasure Planet,2002-11-27,Adventure,PG,"$55,189,145 ",Ron Clements
The Great Mouse Detective,1986-07-02,Adventure,,"$53,637,367 ",Ron Clements
Cinderella,2015-03-13,Drama,PG,"$201,151,353 ",Wilfred Jackson
Frozen,2013-11-22,Adventure,PG,"$414,997,174 ",Chris Buck
Pirates of the Caribbean: On Stranger…,2011-05-20,Adventure,PG-13,"$256,263,359 ",Rob Marshall
Zokkomon,2011-04-22,Adventure,PG,"$2,984 ",Satyajit Bhatkal
Gross Anatomy,1989-10-20,Drama,PG-13,"$23,972,012 ",Thom Eberhardt
The Incredibles,2004-11-05,Adventure,PG,"$354,488,708 ",
Frank McKlusky C.I.,2002-01-01,,,$0 ,
Taking Care of Business,1990-08-17,Comedy,R,"$39,963,460 ",Arthur Hiller
Tim Burton's The Nightmare Before Chr…,2006-10-20,Musical,PG,"$30,737,517 ",
Cocktail,1988-07-29,Drama,R,"$160,442,289 ",Roger Donaldson
Gun Shy,2000-02-04,Comedy,R,"$2,562,155 ",Eric Blakeney
Mr. Destiny,1990-10-12,Comedy,PG-13,"$30,722,056 ",James Orr
Herbie Goes to Monte Carlo,1977-06-24,,,"$105,847,527 ",Vincent McEveety
Evita,1996-12-25,Musical,PG,"$92,077,628 ",Alan Parker
