title,release_date,revenue,director,CharactersCount,DirectorPop,IsAnimation,ActorsAvg,_is_G,_is_Not Rated,_is_PG,_is_PG-13,_is_R,_is_Action,_is_Adventure,_is_Black Comedy,_is_Comedy,_is_Concert/Performance,_is_Documentary,_is_Drama,_is_Horror,_is_Musical,_is_Romantic Comedy,_is_Thriller/Suspense,_is_Western
Bridge to Terabithia,2007.126027,100760721,GÃÂÃÂ¡bor CsupÃÂÃÂ³,12.342105263157896,4.5799825327510915,0,6.778963749000002,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Beauty and the Beast,1991.857534,363017667,Gary Trousdale,19.0,4.509,1,6.665777778,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Miami Rhapsody,1995.073973,9857435,David Frankel,12.342105263157896,2.161,0,6.778963749000002,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
A Bug's Life,1998.876712,288981698,John Lasseter,12.342105263157896,4.98,0,6.778963749000002,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3 Men and a Little Lady,1990.879452,143108869,Emile Ardolino,12.342105263157896,9.122,0,6.778963749000002,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
The Puppet Masters,1994.79726,17727017,Stuart Orme,12.342105263157896,1.813,0,6.778963749000002,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Signs,2002.580822,330754439,M. Night Shyamalan,12.342105263157896,7.184,0,6.778963749000002,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Dead Presidents,1995.750685,46741467,Albert Hughes,12.342105263157896,6.53,0,6.778963749000002,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"McFarland, USA",2015.136986,44480275,Niki Caro,12.342105263157896,1.653,0,6.778963749000002,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
George Of The Jungle,1997.536986,193326632,Sam Weisman,12.342105263157896,1.579,0,6.778963749000002,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Bound by Honor,1993.290411,9156084,Taylor Hackford,12.342105263157896,5.152,0,6.778963749000002,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Avengers,2012.339726,660081224,Joss Whedon,12.342105263157896,10.768,0,6.778963749000002,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Ten Things I Hate About You,1999.249315,63354375,Gil Junger,12.342105263157896,5.614,0,6.778963749000002,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Earth,2009.306849,35981010,Ben Wheatley,12.342105263157896,3.624,0,6.778963749000002,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Hello Again,1987.838356,44024529,Frank Perry,12.342105263157896,1.282,0,6.778963749000002,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
When a Man Loves a Woman,1994.326027,103354194,Luis Mandoki,12.342105263157896,1.4,0,6.778963749000002,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Unbreakable,2000.882192,148208901,M. Night Shyamalan,12.342105263157896,7.184,0,6.778963749000002,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
3 Men and a Baby,1987.890411,353334607,Leonard Nimoy,12.342105263157896,10.142,0,6.778963749000002,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
X Games 3D: The Movie,2009.632877,1563976,Steven Lawrence,12.342105263157896,2.246,0,6.778963749000002,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Cars 2,2011.476712,203522177,John Lasseter,12.342105263157896,4.98,0,6.778963749000002,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
The Princess Diaries 2: Royal Engagement,2004.605479,129164207,Gidion Phillips,12.342105263157896,0.98,0,6.778963749000002,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
The Jungle Book 2,2003.120548,66966883,Steve Trenbirth,12.342105263157896,1.018,0,6.778963749000002,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Aspen Extreme,1993.060274,15970955,Patrick Hasburgh,12.342105263157896,1.132,0,6.778963749000002,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Noises Off...,1992.219178,4631720,Peter Bogdanovich,12.342105263157896,8.203,0,6.778963749000002,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
He Got Game,1998.331507,38766948,Spike Lee,12.342105263157896,10.922,0,6.778963749000002,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Bringing Down the House,2003.183562,185481530,Adam Shankman,12.342105263157896,3.366,0,6.778963749000002,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Bon Voyage!,1962.375342,109581646,Jean-Paul Rappeneau,12.342105263157896,1.047,0,6.778963749000002,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Doctor Strange,2016.832877,232532923,Scott Derrickson,12.342105263157896,2.815,0,6.778963749000002,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Flubber,1997.893151,170406423,Les Mayfield,12.342105263157896,2.766,0,6.778963749000002,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Roving Mars,2006.073973,12948025,George Butler,12.342105263157896,1.38,0,6.778963749000002,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Captain Ron,1992.706849,45741576,Thom Eberhardt,12.342105263157896,1.454,0,6.778963749000002,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Shadow Conspiracy,1997.084932,3957025,George P. Cosmatos,12.342105263157896,4.257,0,6.778963749000002,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Good Morning Vietnam,1987.967123,254414837,Barry Levinson,12.342105263157896,4.682,0,6.778963749000002,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Babes in Toyland,1961.942466,124841160,Jack Donohue,12.342105263157896,1.093,0,6.778963749000002,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
An Innocent Man,1989.756164,40983414,Peter Yates,12.342105263157896,1.938,0,6.778963749000002,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Summer of Sam,1999.49863,32007656,Spike Lee,12.342105263157896,10.922,0,6.778963749000002,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
The Good Dinosaur,2015.890411,123087120,Peter Sohn,12.342105263157896,9.863,0,6.778963749000002,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Angels in the Outfield,1994.534247,103798152,William Dear,12.342105263157896,3.532,0,6.778963749000002,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Tough Guys,1986.747945,48758184,Jeff Kanew,12.342105263157896,2.425,0,6.778963749000002,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Something Wicked This Way Comes,1983.326027,15136765,Jack Clayton,12.342105263157896,2.923,0,6.778963749000002,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
The Rocketeer,1991.468493,93256673,Joe Johnston,12.342105263157896,7.935,0,6.778963749000002,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Stakeout,1987.589041,141592160,John Badham,12.342105263157896,2.955,0,6.778963749000002,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
National Treasure 2: Book of Secrets,2007.961644,267003525,Jon Turteltaub,12.342105263157896,5.327,0,6.778963749000002,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Terminal Velocity,1994.720548,34048315,Deran Sarafian,12.342105263157896,2.488,0,6.778963749000002,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Apocalypto,2006.926027,64959548,Mel Gibson,12.342105263157896,24.357,0,6.778963749000002,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Invincible,2006.643836,74398864,Ericson Core,12.342105263157896,1.76,0,6.778963749000002,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
25th Hour,2002.956164,18325463,Spike Lee,12.342105263157896,10.922,0,6.778963749000002,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Mighty Joe Young,1998.972603,87906042,Ron Underwood,12.342105263157896,5.008,0,6.778963749000002,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Deceived,1991.731507,57544453,Damian Harris,12.342105263157896,2.631,0,6.778963749000002,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Never Cry Wolf,1983.758904,70669955,Carroll Ballard,12.342105263157896,0.676,0,6.778963749000002,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
G-Force,2009.558904,134246932,Hoyt Yeatman,12.342105263157896,2.216,0,6.778963749000002,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Feast of July,1995.775342,568342,Christopher Menaul,12.342105263157896,2.038,0,6.778963749000002,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
The Lookout,2007.246575,5637048,Scott Frank,12.342105263157896,6.184,0,6.778963749000002,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Cool Runnings,1993.742466,140392731,Jon Turteltaub,12.342105263157896,5.327,0,6.778963749000002,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Alice Through the Looking Glass,2016.40274,77042381,James Bobin,12.342105263157896,3.755,0,6.778963749000002,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
The Devil and Max Devlin,1981.00274,48517980,Steven Hilliard Stern,12.342105263157896,2.599,0,6.778963749000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Chronicles of Narnia: Prince Caspian,2008.372603,166277038,Andrew Adamson,12.342105263157896,5.442,0,6.778963749000002,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
The Insider,1999.835616,47794214,Michael Mann,12.342105263157896,9.996,0,6.778963749000002,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Camp Nowhere,1994.646575,21576332,Jonathan Prince,12.342105263157896,1.821,0,6.778963749000002,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
The Rock,1996.430137,255702705,Michael Bay,12.342105263157896,11.936,0,6.778963749000002,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Green Card,1990.972603,59679131,Peter Weir,12.342105263157896,3.431,0,6.778963749000002,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Real Steel,2011.758904,90848019,Shawn Levy,12.342105263157896,18.248,0,6.778963749000002,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
A Kid in King Arthur's Court,1995.605479,25981285,Michael Gottlieb,12.342105263157896,0.623,0,6.778963749000002,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
The Last Flight of NoahÃÂ¢ÃÂÃÂs Ark,1980.479452,34472116,Charles Jarrott,12.342105263157896,1.176,0,6.778963749000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
African Cats,2011.306849,16401551,Alastair Fothergill,12.342105263157896,2.158,0,6.778963749000002,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Toy Story 3D Double Feature,2009.745205,34509545,John Lasseter,12.342105263157896,4.98,0,6.778963749000002,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Into the Woods,2014.972603,130894237,Rob Marshall,12.342105263157896,2.366,0,6.778963749000002,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Finding Nemo,2003.410959,518148559,Andrew Stanton,12.342105263157896,6.336,0,6.778963749000002,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
The Good Mother,1988.832877,9772655,Leonard Nimoy,12.342105263157896,10.142,0,6.778963749000002,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
The Hundred-Foot Journey,2014.59726,55961409,Lasse HallstrÃÂÃÂ¶m,12.342105263157896,0.0,0,6.778963749000002,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Pearl Harbor,2001.39726,295705112,Michael Rosenfeld,12.342105263157896,0.6,0,6.778963749000002,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Pirates of the Caribbean: At WorldÃÂ¢ÃÂÃÂÃÂ¢ÃÂÃÂ¦,2007.394521,379129960,Gore Verbinski,12.342105263157896,5.365,0,6.778963749000002,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Color of Night,1994.627397,40804816,Richard Rush,12.342105263157896,1.96,0,6.778963749000002,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Romy and Michele's High School Reunion,1997.315068,53693680,David Mirkin,12.342105263157896,3.121,0,6.778963749000002,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Cheetah,1989.624658,16653473,Jeff Blyth,12.342105263157896,0.6,0,6.778963749000002,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Jack,1996.6,111792852,Francis Ford Coppola,12.342105263157896,6.62,0,6.778963749000002,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Monsters University,2013.468493,278395641,Dan Scanlon,12.342105263157896,2.841,0,6.778963749000002,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
The Fifth Estate,2013.789041,3374251,Bill Condon,12.342105263157896,9.348,0,6.778963749000002,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Before and After,1996.145205,16482589,Barbet Schroeder,12.342105263157896,1.977,0,6.778963749000002,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Moonlight Mile,2002.731507,9909094,Brad Silberling,12.342105263157896,4.72,0,6.778963749000002,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
A Stranger Among Us,1992.539726,24950752,Sidney Lumet,12.342105263157896,7.344,0,6.778963749000002,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
The Lizzie McGuire Movie,2003.334247,59743191,Jim Fall,12.342105263157896,1.96,0,6.778963749000002,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Krippendorf's Tribe,1998.156164,13608633,Todd Holland,12.342105263157896,5.061,0,6.778963749000002,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
crazy/beautiful,2001.490411,25214223,John Stockwell,12.342105263157896,9.155,0,6.778963749000002,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Adventures in Babysitting,1987.50137,72853569,Chris Columbus,12.342105263157896,7.679,0,6.778963749000002,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
The Game Plan,2007.717808,111010758,Andy Fickman,12.342105263157896,4.319,0,6.778963749000002,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Splash,1984.189041,157057661,Ron Howard,12.342105263157896,9.707,0,6.778963749000002,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Who Framed Roger Rabbit?,1988.471233,316250084,Robert Zemeckis,12.342105263157896,9.118,0,6.778963749000002,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
The Light Between Oceans,2016.663014,12545979,Derek Cianfrance,12.342105263157896,1.4,0,6.778963749000002,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
The Guardian,2006.736986,70801353,Mark J. Doddy,12.342105263157896,0.6,0,6.778963749000002,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
The Sword in the Stone,1963.972603,153870834,Wolfgang Reitherman,10.0,5.595,1,4.6825,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Mr. Holland's Opus,1995.983562,157508868,Stephen Herek,12.342105263157896,7.521,0,6.778963749000002,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
The Rescuers Down Under,1990.865753,55796728,Mike Gabriel,12.0,1.827,1,5.877333333,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
The Preacher's Wife,1996.939726,91076877,Penny Marshall,12.342105263157896,2.772,0,6.778963749000002,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Sarafina!,1992.706849,14841352,Darrell James Roodt,12.342105263157896,2.051,0,6.778963749000002,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Trenchcoat,1983.194521,11519089,Michael Tuchner,12.342105263157896,0.84,0,6.778963749000002,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Confessions of a Teenage Drama Queen,2004.136986,39816568,Sara Sugarman,12.342105263157896,3.082,0,6.778963749000002,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Around the World in 80 Days,2004.454795,32585356,Frank Coraci,12.342105263157896,7.036,0,6.778963749000002,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Blaze,1989.939726,39884640,Ron Shelton,12.342105263157896,5.884,0,6.778963749000002,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Toy Story,1995.882192,370409631,John Lasseter,12.342105263157896,4.98,0,6.778963749000002,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Prince of Persia: Sands of Time,2010.405479,96971361,Mike Newell,12.342105263157896,4.624,0,6.778963749000002,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Eddie,1996.413699,59828966,Steve Rash,12.342105263157896,2.649,0,6.778963749000002,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
White Fang 2: Myth of the White Wolf,1994.287671,18083994,Ken Olin,12.342105263157896,4.906,0,6.778963749000002,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
White Squall,1996.087671,19509726,Ridley Scott,12.342105263157896,10.705,0,6.778963749000002,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
The Invisible,2007.320548,25202168,David S. Goyer,12.342105263157896,4.59,0,6.778963749000002,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Guilty as Sin,1993.421918,46064723,Sidney Lumet,12.342105263157896,7.344,0,6.778963749000002,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Operation Dumbo Drop,1995.569863,47809421,Simon Wincer,12.342105263157896,4.736,0,6.778963749000002,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Ghosts of the Abyss,2003.276712,23803108,James Cameron,12.342105263157896,15.79,0,6.778963749000002,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Scenes from a Mall,1991.142466,19149495,Paul Mazursky,12.342105263157896,3.252,0,6.778963749000002,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
The BFG,2016.49589,55483770,Steven Spielberg,12.342105263157896,21.12,0,6.778963749000002,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Tron,1982.517808,77184895,Steven Lisberger,12.342105263157896,1.553,0,6.778963749000002,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Firelight,1998.668493,1409943,William Nicholson,12.342105263157896,2.251,0,6.778963749000002,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Delivery Man,2013.882192,31787136,Ken Scott,12.342105263157896,1.816,0,6.778963749000002,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
New York Stories,1989.167123,22740861,Francis Ford Coppola,12.342105263157896,6.62,0,6.778963749000002,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Disorganized Crime,1989.284932,15233465,Jim Kouf,12.342105263157896,6.223,0,6.778963749000002,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Tom and Huck,1995.964384,45911517,Peter Hewitt,12.342105263157896,3.154,0,6.778963749000002,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Keeping the Faith,2000.284932,57925202,Edward Norton,12.342105263157896,19.054,0,6.778963749000002,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Grosse Pointe Blank,1997.276712,51579764,George Armitage,12.342105263157896,1.4,0,6.778963749000002,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Indian Summer,1993.309589,29968953,Mike Binder,12.342105263157896,1.47,0,6.778963749000002,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
The Princess and the Frog,2009.890411,116316457,Ron Clements,18.0,2.526,1,6.163666667,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Billy Bathgate,1991.824658,31167691,Robert Benton,12.342105263157896,2.507,0,6.778963749000002,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
3 Ninjas Kick Back,1994.345205,24267154,Charles T. Kanganis,12.342105263157896,1.052,0,6.778963749000002,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
My Boyfriend's Back,1993.591781,6554384,Bob Balaban,12.342105263157896,8.343,0,6.778963749000002,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Goal! The Dream Begins,2006.361644,5512647,Danny Cannon,12.342105263157896,4.592,0,6.778963749000002,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Country,1984.736986,21075000,Richard Pearce,12.342105263157896,1.129,0,6.778963749000002,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Big Trouble,2002.260274,10537188,Barry Sonnenfeld,12.342105263157896,5.841,0,6.778963749000002,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
People Like Us,2012.490411,13165822,Alex Kurtzman,12.342105263157896,7.012,0,6.778963749000002,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Mars Needs Moms,2011.194521,22741603,Simon Wells,12.342105263157896,2.796,0,6.778963749000002,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Angie,1994.175342,19116981,Martha Coolidge,12.342105263157896,3.443,0,6.778963749000002,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Deuce Bigalow: Male Gigolo,1999.931507,106921374,Mike Mitchell,12.342105263157896,5.746,0,6.778963749000002,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Veronica Guerin,2003.786301,2194759,Joel Schumacher,12.342105263157896,2.794,0,6.778963749000002,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Max Keeble's Big Move,2001.753425,25749730,Tim Hill,12.342105263157896,2.326,0,6.778963749000002,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
The Scarlet Letter,1995.775342,20075033,Roland JoffÃÂÃÂ©,12.342105263157896,4.5799825327510915,0,6.778963749000002,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
D3: The Mighty Ducks,1996.750685,43713554,Rob Lieberman,12.342105263157896,4.514,0,6.778963749000002,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Up,2009.408219,329336681,Pete Docter,12.342105263157896,9.735,0,6.778963749000002,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Alive,1993.041096,73914543,Frank Marshall,12.342105263157896,3.076,0,6.778963749000002,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Can't Buy Me Love,1987.613699,68181300,Steve Rash,12.342105263157896,2.649,0,6.778963749000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
The Hoax,2007.263014,8779196,Lasse HallstrÃÂ¶m,12.342105263157896,7.651,0,6.778963749000002,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Fantasia,1940.857534,2187090808,full credits,6.0,1.0,1,8.8155,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
